date,ticker,close,high,low,open
2024-01-01 00:00:00+00:00,gbpchf,1.071725,1.0722,1.06995,1.070175
2024-01-02 00:00:00+00:00,gbpchf,1.07315,1.0788,1.0692,1.07175
2024-01-03 00:00:00+00:00,gbpchf,1.0763,1.08005,1.0725,1.073125
2024-01-04 00:00:00+00:00,gbpchf,1.0783,1.0815,1.074925,1.07625
2024-01-05 00:00:00+00:00,gbpchf,1.08165,1.082175,1.07725,1.07835
2024-01-07 00:00:00+00:00,gbpchf,1.082,1.08225,1.0811,1.0813
2024-01-08 00:00:00+00:00,gbpchf,1.0806,1.0825,1.0785,1.082025
2024-01-09 00:00:00+00:00,gbpchf,1.08355,1.0843,1.0795,1.080575
2024-01-10 00:00:00+00:00,gbpchf,1.08405,1.08575,1.0815,1.083575
2024-01-11 00:00:00+00:00,gbpchf,1.087625,1.089825,1.08335,1.084025
2024-01-12 00:00:00+00:00,gbpchf,1.087325,1.089275,1.0849,1.0876
2024-01-14 00:00:00+00:00,gbpchf,1.08695,1.0873,1.086325,1.086925
2024-01-15 00:00:00+00:00,gbpchf,1.088525,1.08975,1.08595,1.086975
2024-01-16 00:00:00+00:00,gbpchf,1.0888,1.0904,1.0869,1.08855
2024-01-17 00:00:00+00:00,gbpchf,1.0958,1.09905,1.08705,1.088825
2024-01-18 00:00:00+00:00,gbpchf,1.1034,1.1038,1.095325,1.095825
2024-01-19 00:00:00+00:00,gbpchf,1.102875,1.10385,1.10065,1.103425
2024-01-21 00:00:00+00:00,gbpchf,1.103025,1.103925,1.1029,1.103175
2024-01-22 00:00:00+00:00,gbpchf,1.10445,1.1061,1.10165,1.103
2024-01-23 00:00:00+00:00,gbpchf,1.10375,1.105575,1.102475,1.104475
2024-01-24 00:00:00+00:00,gbpchf,1.0977,1.10535,1.09745,1.103725
2024-01-25 00:00:00+00:00,gbpchf,1.10185,1.1025,1.0977,1.097725
2024-01-26 00:00:00+00:00,gbpchf,1.0973,1.1024,1.09705,1.101875
2024-01-28 00:00:00+00:00,gbpchf,1.09745,1.098225,1.0962,1.098225
2024-01-29 00:00:00+00:00,gbpchf,1.09505,1.09775,1.09345,1.097475
2024-01-30 00:00:00+00:00,gbpchf,1.09415,1.0955,1.0914,1.095075
2024-01-31 00:00:00+00:00,gbpchf,1.0935,1.09555,1.090025,1.094175
2024-02-01 00:00:00+00:00,gbpchf,1.0932,1.09505,1.0896,1.093475
2024-02-02 00:00:00+00:00,gbpchf,1.0953,1.0963,1.09145,1.093225
2024-02-04 00:00:00+00:00,gbpchf,1.0944,1.0957,1.094375,1.095475
2024-02-05 00:00:00+00:00,gbpchf,1.0914,1.09755,1.090575,1.09435
2024-02-06 00:00:00+00:00,gbpchf,1.096025,1.0985,1.09135,1.091425
2024-02-07 00:00:00+00:00,gbpchf,1.1038,1.1048,1.09555,1.09605
2024-02-08 00:00:00+00:00,gbpchf,1.10245,1.103825,1.10065,1.103825
2024-02-09 00:00:00+00:00,gbpchf,1.10475,1.10605,1.1021,1.102425
2024-02-11 00:00:00+00:00,gbpchf,1.1048,1.104925,1.1041,1.1041
2024-02-12 00:00:00+00:00,gbpchf,1.10595,1.10665,1.103,1.104775
2024-02-13 00:00:00+00:00,gbpchf,1.1174,1.11855,1.10515,1.105925
2024-02-14 00:00:00+00:00,gbpchf,1.1126,1.1174,1.1115,1.117375
2024-02-15 00:00:00+00:00,gbpchf,1.1086,1.11315,1.1061,1.112575
2024-02-16 00:00:00+00:00,gbpchf,1.1101,1.1109,1.10755,1.10865
2024-02-18 00:00:00+00:00,gbpchf,1.110725,1.11075,1.10975,1.1106
2024-02-19 00:00:00+00:00,gbpchf,1.111275,1.1129,1.10965,1.11075
2024-02-20 00:00:00+00:00,gbpchf,1.113475,1.1148,1.109625,1.11125
2024-02-21 00:00:00+00:00,gbpchf,1.1112,1.11355,1.10975,1.11345
2024-02-22 00:00:00+00:00,gbpchf,1.11445,1.11595,1.108475,1.111225
2024-02-23 00:00:00+00:00,gbpchf,1.11635,1.11775,1.11405,1.114425
2024-02-25 00:00:00+00:00,gbpchf,1.1167,1.1169,1.1163,1.116425
2024-02-26 00:00:00+00:00,gbpchf,1.1163,1.117425,1.1146,1.116675
2024-02-27 00:00:00+00:00,gbpchf,1.114675,1.117225,1.114325,1.116325
2024-02-28 00:00:00+00:00,gbpchf,1.11265,1.11525,1.1122,1.11465
2024-02-29 00:00:00+00:00,gbpchf,1.1168,1.1171,1.1118,1.112675
2024-03-01 00:00:00+00:00,gbpchf,1.1177,1.12185,1.116225,1.116825
2024-03-03 00:00:00+00:00,gbpchf,1.1185,1.1186,1.1176,1.118275
2024-03-04 00:00:00+00:00,gbpchf,1.12335,1.12485,1.116175,1.118525
2024-03-05 00:00:00+00:00,gbpchf,1.1226,1.12475,1.12185,1.1234
2024-03-06 00:00:00+00:00,gbpchf,1.12345,1.126825,1.122275,1.122625
2024-03-07 00:00:00+00:00,gbpchf,1.12415,1.125075,1.1208,1.123425
2024-03-08 00:00:00+00:00,gbpchf,1.128625,1.129,1.12295,1.124175
2024-03-10 00:00:00+00:00,gbpchf,1.1282,1.128525,1.127675,1.12815
2024-03-11 00:00:00+00:00,gbpchf,1.12465,1.128225,1.1239,1.128225
2024-03-12 00:00:00+00:00,gbpchf,1.1227,1.125025,1.11975,1.124625
2024-03-13 00:00:00+00:00,gbpchf,1.124475,1.124925,1.12165,1.122725
2024-03-14 00:00:00+00:00,gbpchf,1.1271,1.127875,1.1242,1.1245
2024-03-15 00:00:00+00:00,gbpchf,1.1252,1.12765,1.12455,1.127125
2024-03-17 00:00:00+00:00,gbpchf,1.12495,1.125425,1.12475,1.125225
2024-03-18 00:00:00+00:00,gbpchf,1.1296,1.130825,1.124,1.124925
2024-03-19 00:00:00+00:00,gbpchf,1.130125,1.130675,1.12485,1.129575
2024-03-20 00:00:00+00:00,gbpchf,1.1335,1.134775,1.1295,1.1301
2024-03-21 00:00:00+00:00,gbpchf,1.13665,1.1459,1.131225,1.133475
2024-03-22 00:00:00+00:00,gbpchf,1.130775,1.13805,1.1296,1.136625
2024-03-24 00:00:00+00:00,gbpchf,1.1309,1.13095,1.129775,1.1307
2024-03-25 00:00:00+00:00,gbpchf,1.136775,1.1372,1.130875,1.130875
2024-03-26 00:00:00+00:00,gbpchf,1.1412,1.14315,1.136675,1.1368
2024-03-27 00:00:00+00:00,gbpchf,1.142675,1.145175,1.139925,1.141225
2024-03-28 00:00:00+00:00,gbpchf,1.137575,1.14395,1.137375,1.1427
2024-03-29 00:00:00+00:00,gbpchf,1.138825,1.14,1.13665,1.1376
2024-03-31 00:00:00+00:00,gbpchf,1.14,1.14005,1.1384,1.138775
2024-04-01 00:00:00+00:00,gbpchf,1.13555,1.140075,1.13455,1.139975
2024-04-02 00:00:00+00:00,gbpchf,1.1417,1.142525,1.135475,1.135575
2024-04-03 00:00:00+00:00,gbpchf,1.142425,1.1439,1.14115,1.141725
2024-04-04 00:00:00+00:00,gbpchf,1.13955,1.1486,1.1388,1.1424
2024-04-05 00:00:00+00:00,gbpchf,1.1399,1.1431,1.135725,1.139525
2024-04-07 00:00:00+00:00,gbpchf,1.140275,1.141375,1.139125,1.13935
2024-04-08 00:00:00+00:00,gbpchf,1.145625,1.14635,1.13995,1.14025
2024-04-09 00:00:00+00:00,gbpchf,1.1449,1.146575,1.14425,1.1456
2024-04-10 00:00:00+00:00,gbpchf,1.14485,1.148175,1.1432,1.144875
2024-04-11 00:00:00+00:00,gbpchf,1.1423,1.14845,1.1402,1.144875
2024-04-12 00:00:00+00:00,gbpchf,1.1385,1.143,1.1322,1.142325
2024-04-14 00:00:00+00:00,gbpchf,1.138575,1.138825,1.1364,1.13685
2024-04-15 00:00:00+00:00,gbpchf,1.13505,1.1414,1.1344,1.1386
2024-04-16 00:00:00+00:00,gbpchf,1.13455,1.138325,1.13355,1.135025
2024-04-17 00:00:00+00:00,gbpchf,1.134075,1.137325,1.13185,1.134525
2024-04-18 00:00:00+00:00,gbpchf,1.1347,1.136375,1.13255,1.1341
2024-04-19 00:00:00+00:00,gbpchf,1.126225,1.134725,1.1171,1.134725
2024-04-21 00:00:00+00:00,gbpchf,1.12775,1.1278,1.126025,1.126275
2024-04-22 00:00:00+00:00,gbpchf,1.1262,1.1296,1.1214,1.127725
2024-04-23 00:00:00+00:00,gbpchf,1.135575,1.1356,1.12525,1.126225
2024-04-24 00:00:00+00:00,gbpchf,1.1394,1.140775,1.1348,1.13555
2024-04-25 00:00:00+00:00,gbpchf,1.1416,1.1437,1.13915,1.139425
2024-04-26 00:00:00+00:00,gbpchf,1.142725,1.142875,1.13855,1.141575
2024-04-28 00:00:00+00:00,gbpchf,1.143075,1.14315,1.14205,1.142675
2024-04-29 00:00:00+00:00,gbpchf,1.143975,1.145875,1.1404,1.1431
2024-04-30 00:00:00+00:00,gbpchf,1.148575,1.14955,1.142375,1.14395
2024-05-01 00:00:00+00:00,gbpchf,1.1488,1.15125,1.1461,1.1486
2024-05-02 00:00:00+00:00,gbpchf,1.140725,1.14935,1.13845,1.148775
2024-05-03 00:00:00+00:00,gbpchf,1.135525,1.14165,1.134425,1.14075
2024-05-05 00:00:00+00:00,gbpchf,1.1361,1.13645,1.13525,1.135625
2024-05-06 00:00:00+00:00,gbpchf,1.1389,1.1396,1.136025,1.136125
2024-05-07 00:00:00+00:00,gbpchf,1.13585,1.1398,1.13575,1.13895
2024-05-08 00:00:00+00:00,gbpchf,1.1343,1.13595,1.13295,1.1358
2024-05-09 00:00:00+00:00,gbpchf,1.1347,1.1367,1.13205,1.134275
2024-05-10 00:00:00+00:00,gbpchf,1.135425,1.13755,1.134375,1.134725
2024-05-12 00:00:00+00:00,gbpchf,1.13515,1.13535,1.13435,1.135275
2024-05-13 00:00:00+00:00,gbpchf,1.1405,1.14095,1.13475,1.135125
2024-05-14 00:00:00+00:00,gbpchf,1.1413,1.14185,1.136225,1.140475
2024-05-15 00:00:00+00:00,gbpchf,1.142875,1.1454,1.1397,1.141325
2024-05-16 00:00:00+00:00,gbpchf,1.148175,1.148625,1.141075,1.14285
2024-05-17 00:00:00+00:00,gbpchf,1.154775,1.1548,1.1479,1.1482
2024-05-19 00:00:00+00:00,gbpchf,1.154975,1.1553,1.1542,1.154475
2024-05-20 00:00:00+00:00,gbpchf,1.1568,1.157475,1.1537,1.155
2024-05-21 00:00:00+00:00,gbpchf,1.15825,1.15855,1.15565,1.156825
2024-05-22 00:00:00+00:00,gbpchf,1.1643,1.1653,1.15815,1.1583
2024-05-23 00:00:00+00:00,gbpchf,1.16065,1.16475,1.16055,1.164275
2024-05-24 00:00:00+00:00,gbpchf,1.165,1.1655,1.160225,1.160625
2024-05-26 00:00:00+00:00,gbpchf,1.16455,1.1653,1.16445,1.164725
2024-05-27 00:00:00+00:00,gbpchf,1.1665,1.1678,1.164525,1.164575
2024-05-28 00:00:00+00:00,gbpchf,1.164,1.16655,1.162225,1.166475
2024-05-29 00:00:00+00:00,gbpchf,1.15965,1.1656,1.1593,1.16405
2024-05-30 00:00:00+00:00,gbpchf,1.14995,1.1608,1.14965,1.159625
2024-05-31 00:00:00+00:00,gbpchf,1.1498,1.1534,1.14755,1.149925
2024-06-02 00:00:00+00:00,gbpchf,1.1488,1.150425,1.148725,1.15015
2024-06-03 00:00:00+00:00,gbpchf,1.146625,1.149925,1.144,1.148775
2024-06-04 00:00:00+00:00,gbpchf,1.13685,1.14835,1.13625,1.1466
2024-06-05 00:00:00+00:00,gbpchf,1.14205,1.142975,1.13675,1.136875
2024-06-06 00:00:00+00:00,gbpchf,1.1382,1.142075,1.137425,1.142075
2024-06-07 00:00:00+00:00,gbpchf,1.1404,1.14235,1.136825,1.138175
2024-06-09 00:00:00+00:00,gbpchf,1.1406,1.1425,1.1405,1.1417
2024-06-10 00:00:00+00:00,gbpchf,1.14105,1.1424,1.137625,1.140625
2024-06-11 00:00:00+00:00,gbpchf,1.14385,1.14405,1.139325,1.141025
2024-06-12 00:00:00+00:00,gbpchf,1.1443,1.14605,1.14105,1.143825
2024-06-13 00:00:00+00:00,gbpchf,1.14025,1.1463,1.13905,1.14435
2024-06-14 00:00:00+00:00,gbpchf,1.129225,1.14065,1.12765,1.140275
2024-06-16 00:00:00+00:00,gbpchf,1.1299,1.13005,1.128825,1.129475
2024-06-17 00:00:00+00:00,gbpchf,1.12955,1.132,1.1278,1.129925
2024-06-18 00:00:00+00:00,gbpchf,1.1236,1.1298,1.12195,1.129575
2024-06-19 00:00:00+00:00,gbpchf,1.12495,1.1276,1.122625,1.123625
2024-06-20 00:00:00+00:00,gbpchf,1.1287,1.132025,1.1222,1.124925
2024-06-21 00:00:00+00:00,gbpchf,1.1306,1.1314,1.12575,1.128675
2024-06-23 00:00:00+00:00,gbpchf,1.130425,1.1309,1.129425,1.130325
2024-06-24 00:00:00+00:00,gbpchf,1.13285,1.13435,1.1289,1.1304
2024-06-25 00:00:00+00:00,gbpchf,1.1357,1.1358,1.1314,1.132875
2024-06-26 00:00:00+00:00,gbpchf,1.13225,1.13765,1.132075,1.135675
2024-06-27 00:00:00+00:00,gbpchf,1.1362,1.1366,1.1318,1.132225
2024-06-28 00:00:00+00:00,gbpchf,1.13655,1.1387,1.1351,1.13625
2024-06-30 00:00:00+00:00,gbpchf,1.138925,1.13895,1.136375,1.136575
2024-07-01 00:00:00+00:00,gbpchf,1.14225,1.14415,1.1379,1.1389
2024-07-02 00:00:00+00:00,gbpchf,1.1467,1.14705,1.14045,1.142225
2024-07-03 00:00:00+00:00,gbpchf,1.1484,1.1504,1.1461,1.146675
2024-07-04 00:00:00+00:00,gbpchf,1.148325,1.1524,1.1471,1.148375
