window_start,window_end,window_months,param_tests,pct_params_outperform,avg_diff_nav,median_diff_nav,best_diff_nav,worst_diff_nav
2019-05-16,2022-03-16,34,36,100.0,7193.990527279044,7207.835726118203,13863.658503971255,519.1851500000012
2019-05-16,2022-04-19,35,36,100.0,7135.2974823991035,7142.621035052121,13768.597913968071,514.424199999994
2019-06-17,2022-04-19,34,36,100.0,6737.644488669001,6758.487775396727,13162.522019954391,514.424199999994
2019-07-17,2022-04-19,33,36,100.0,6737.644488669001,6758.487775396727,13162.522019954391,514.424199999994
2019-06-17,2022-03-17,33,36,100.0,6631.095742450087,6627.817617875407,12991.048636664491,505.8544000000038
2019-07-17,2022-03-17,32,36,100.0,6631.095742450087,6627.817617875407,12991.048636664491,505.8544000000038
2019-05-16,2022-06-16,37,36,100.0,6390.702956422174,6326.20628297537,12512.231931304894,451.57919999999285
2019-08-19,2022-03-21,31,36,100.0,6098.369772562566,6261.874818388442,12142.61844159518,522.041750000004
2019-08-19,2022-04-19,32,36,100.0,6007.4209474927375,6177.2922474449115,11990.636314220545,514.424199999994
2019-12-23,2022-03-23,27,36,100.0,5964.79204687013,6374.141255870873,9928.76369584481,531.8017499999987
2019-08-19,2022-05-19,33,36,100.0,5881.785802534628,6011.344372623,11705.384176063591,500.1412499999933
2019-09-19,2022-03-21,30,36,100.0,5847.056935221034,6252.949231624632,9733.786202278825,522.041750000004
2019-10-21,2022-03-21,29,36,100.0,5847.056935221034,6252.949231624632,9733.786202278825,522.041750000004
2019-11-21,2022-03-21,28,36,100.0,5847.056935221034,6252.949231624632,9733.786202278825,522.041750000004
2019-06-17,2022-06-17,36,36,100.0,5767.205383910168,5644.911656624528,11530.339958822144,432.7733500000031
2019-07-17,2022-06-17,35,36,100.0,5767.205383910168,5644.911656624528,11530.339958822144,432.7733500000031
2019-09-19,2022-04-19,31,36,100.0,5756.414546008614,6158.360470938464,9581.962163172218,514.424199999994
2019-05-16,2022-01-17,32,36,100.0,5645.106635364644,5527.466262541504,11478.889951389,399.9225499999957
2020-04-24,2022-03-24,23,36,100.0,5631.701812495309,5769.199102399998,10049.270125311894,696.0556999999972
2019-09-19,2022-05-19,32,36,100.0,5631.243036645151,6006.736814055519,9296.884394376575,500.1412499999933
2020-01-23,2022-03-23,26,36,100.0,5627.871410482335,6018.652734576528,9448.53869406402,531.8017499999987
2020-02-24,2022-03-24,25,36,100.0,5616.964980482151,6110.413833154587,8853.667101402832,538.9432499999966
2020-03-24,2022-03-24,24,36,100.0,5510.027024164891,5684.840981256406,9699.687287718334,660.8244500000001
2019-05-16,2024-04-16,59,36,100.0,5461.203062807282,5412.385498920285,10698.803687325279,491.1429849999986
2019-05-16,2023-12-18,55,36,100.0,5313.840958435645,5227.89459143551,10503.600353758848,472.1108874999991
2019-06-17,2022-05-17,35,36,100.0,5307.271512263059,5101.5124191019895,10835.244819508822,398.01814999999624
2019-07-17,2022-05-17,34,36,100.0,5307.271512263059,5101.5124191019895,10835.244819508822,398.01814999999624
2019-05-16,2022-05-16,36,36,100.0,5271.682525230646,5095.604696122329,10807.97788499928,366.357600000003
2019-06-17,2022-01-17,31,36,100.0,5265.128354574076,4991.289437948195,10872.953359127147,399.9225499999957
2019-07-17,2022-01-17,30,36,100.0,5265.128354574076,4991.289437948195,10872.953359127147,399.9225499999957
2019-10-21,2022-04-21,30,36,100.0,5218.350910780238,5605.605635105865,8692.368556910762,469.90899999999965
2019-11-21,2022-04-21,29,36,100.0,5218.350910780238,5605.605635105865,8692.368556910762,469.90899999999965
2019-06-17,2024-04-17,58,36,100.0,5144.823344529384,4944.85088907211,10150.304968777564,496.71335499999986
2019-07-17,2024-04-17,57,36,100.0,5144.823344529384,4944.85088907211,10150.304968777564,496.71335499999986
2019-10-21,2022-05-23,31,36,100.0,5110.395562343145,5474.927540638277,8464.177759151251,458.4826500000054
2019-11-21,2022-05-23,30,36,100.0,5110.395562343145,5474.927540638277,8464.177759151251,458.4826500000054
2019-12-23,2022-05-23,29,36,100.0,5110.395562343145,5474.927540638277,8464.177759151251,458.4826500000054
2019-08-19,2022-06-20,34,36,100.0,5010.847007264894,5131.569248633325,10282.656932448583,428.96454999999696
2019-05-16,2024-03-18,58,36,100.0,4991.513590692703,4880.443706688737,10056.074165600621,428.47651749999204
2019-06-17,2024-01-17,55,36,100.0,4981.209558512545,4771.455155715135,9931.295708725745,475.3602699999974
2019-07-17,2024-01-17,54,36,100.0,4981.209558512545,4771.455155715135,9931.295708725745,475.3602699999974
2019-05-16,2024-01-16,56,36,100.0,4970.370591015537,4847.803155020843,10032.266997662235,426.15552999999636
2019-06-17,2023-12-18,54,36,100.0,4957.11539612931,4746.7320303821725,9897.969076798356,472.1108874999991
2019-07-17,2023-12-18,53,36,100.0,4957.11539612931,4746.7320303821725,9897.969076798356,472.1108874999991
2019-05-16,2023-11-16,54,36,100.0,4821.18658772494,4685.007756097228,9827.546580366725,406.1951349999945
2020-04-24,2022-05-24,25,36,100.0,4809.178883509923,4971.587531200006,8570.517049716509,614.6429000000062
2020-01-23,2022-05-23,28,36,100.0,4795.646859918126,5153.925658856751,7984.7224987875015,458.4826500000054
2019-05-16,2022-02-16,33,36,100.0,4770.4630885680135,4556.840281921599,9994.492870193906,325.65120000000024
2019-09-19,2022-06-20,33,36,100.0,4761.901577165771,5131.569248633325,7874.502903497982,428.96454999999696
2019-10-21,2022-06-21,32,36,100.0,4746.790660371717,5116.001130191289,7850.707210826993,427.7743000000046
2019-11-21,2022-06-21,31,36,100.0,4746.790660371717,5116.001130191289,7850.707210826993,427.7743000000046
2019-12-23,2022-04-25,28,36,100.0,4691.796696906011,5064.674471966631,7821.8037550101,426.346000000005
2020-02-24,2022-05-24,27,36,100.0,4691.363600385639,5140.697910131381,7298.667534361091,457.53045000000566
2020-03-24,2022-05-24,26,36,100.0,4667.463752637476,4839.911216501532,8176.083334801573,579.4116500000018
2019-08-19,2024-01-19,53,36,100.0,4638.6525389355,4867.643103575734,9236.136500795168,521.7799224999981
2019-06-17,2024-03-18,57,36,100.0,4637.3905052821165,4414.737259580354,9450.445379429475,428.47651749999204
2019-07-17,2024-03-18,56,36,100.0,4637.3905052821165,4414.737259580354,9450.445379429475,428.47651749999204
2019-05-16,2021-10-18,29,36,100.0,4626.083080521417,4405.718906275855,9798.874573712157,315.8912000000055
2019-12-23,2022-06-23,30,36,100.0,4607.770860645529,4972.775094509809,7631.787837862867,416.8240500000029
2019-06-17,2023-11-17,53,36,100.0,4602.588452700455,4382.95038415226,9407.593492701832,424.2987399999911
2019-07-17,2023-11-17,52,36,100.0,4602.588452700455,4382.95038415226,9407.593492701832,424.2987399999911
2019-05-16,2022-10-17,41,36,100.0,4540.27546306339,4269.710779596651,9608.434465872378,384.84214749999956
2019-06-17,2022-02-17,32,36,100.0,4520.51523121526,4239.4836930082565,9565.056279941797,334.45904999999766
2019-07-17,2022-02-17,31,36,100.0,4520.51523121526,4239.4836930082565,9565.056279941797,334.45904999999766
2019-10-21,2024-01-22,51,36,100.0,4508.16506901625,4965.877992573838,6990.235638339611,537.562539999999
2019-11-21,2024-01-22,50,36,100.0,4508.16506901625,4965.877992573838,6990.235638339611,537.562539999999
2019-08-19,2022-01-19,29,36,100.0,4480.622416279644,4634.633560863658,9572.866185273844,393.49519999999757
2019-05-16,2022-07-18,38,36,100.0,4456.384212017917,4223.594157141488,9546.500200250186,303.2746000000043
2020-04-24,2022-04-25,24,36,100.0,4436.6715898261855,4516.024853635314,7982.78247942539,583.4584500000055
2019-05-16,2021-11-16,30,36,100.0,4418.914100506085,4176.920429277889,9456.357094419727,298.7516500000056
2019-09-19,2024-01-19,52,36,100.0,4392.048464372689,4828.771889134674,6828.366286850243,521.7799224999981
2020-01-23,2022-04-25,27,36,100.0,4383.473648836308,4663.652318505141,7342.502350014431,426.346000000005
2020-01-23,2022-06-23,29,36,100.0,4305.697339084221,4608.165766209117,7152.667754089802,416.8240500000029
2020-04-24,2022-02-24,22,36,100.0,4300.027814963068,4365.891558284999,7742.493282297597,570.3657500000045
2020-02-24,2022-04-25,26,36,100.0,4291.633027030383,4663.652318505141,6692.596204918445,426.346000000005
2020-03-24,2022-04-25,25,36,100.0,4289.073192961467,4427.022331218803,7577.562435597785,548.2272000000012
2019-08-19,2023-12-19,52,36,100.0,4286.662479005779,4451.804007838506,8745.762237815907,473.9676774999971
2019-06-17,2021-10-18,28,36,100.0,4267.273946355383,3965.5291379331393,9193.200105303084,315.8912000000055
2019-07-17,2021-10-18,27,36,100.0,4267.273946355383,3965.5291379331393,9193.200105303084,315.8912000000055
2019-10-21,2022-01-21,27,36,100.0,4234.818728730571,4590.683173338719,7169.292368942653,393.7332500000048
2019-11-21,2022-01-21,26,36,100.0,4234.818728730571,4590.683173338719,7169.292368942653,393.7332500000048
2019-09-19,2022-01-19,28,36,100.0,4232.067144511068,4587.7422322347265,7164.539121819791,393.49519999999757
2019-12-23,2024-01-23,49,36,100.0,4228.1181274667,4635.209135576362,6599.843437720607,499.49844250000024
2020-04-24,2024-01-24,45,36,100.0,4206.104447697959,4346.623984057125,7032.559947324386,666.8232375000007
2019-08-19,2023-11-20,51,36,100.0,4194.393769624676,4342.798268637973,8617.218265955336,461.4344424999945
2019-06-17,2022-10-17,40,36,100.0,4183.819942183127,3825.991118807462,9002.759522674816,384.84214749999956
2019-07-17,2022-10-17,39,36,100.0,4183.819942183127,3825.991118807462,9002.759522674816,384.84214749999956
2019-06-17,2021-11-17,29,36,100.0,4171.518175952796,3872.9094948315833,9031.511622639111,307.7975499999957
2019-07-17,2021-11-17,28,36,100.0,4171.518175952796,3872.9094948315833,9031.511622639111,307.7975499999957
2020-03-24,2022-02-24,23,36,100.0,4148.862763756926,4279.621117072158,7330.803797608329,535.1345000000001
2020-02-24,2022-02-24,24,36,100.0,4138.747355655156,4495.4242802284425,6441.308958325826,413.25330000000395
2019-05-16,2022-08-16,39,36,100.0,4118.526522370602,3822.735775236044,9008.544552909727,326.35345750000124
2019-05-16,2023-10-16,53,36,100.0,4109.9592375641,3908.888751103892,8851.552125832059,311.03493999999773
2019-06-17,2022-07-18,37,36,100.0,4100.249569330018,3753.8666087379133,8940.807571785976,303.2746000000043
2019-07-17,2022-07-18,36,36,100.0,4100.249569330018,3753.8666087379133,8940.807571785976,303.2746000000043
2019-09-19,2023-12-19,51,36,100.0,4040.2820004267614,4413.419327455431,6337.995339737012,473.9676774999971
2020-03-24,2024-01-24,46,36,100.0,4034.7799951972247,4242.012294104308,6576.757363127086,631.5919875000036
2019-05-16,2021-09-16,28,36,100.0,4007.454100173405,3759.7552342496783,8776.080336127132,264.7106500000082
2019-05-16,2022-09-16,40,36,100.0,3968.376728658482,3663.102057993645,8794.31463138909,305.4646674999967
2019-08-19,2024-04-19,56,36,100.0,3959.4853956892443,4065.3832078690684,8283.959346603158,428.940714999997
2020-01-23,2024-01-23,48,36,100.0,3949.8136070876144,4200.660999253974,6121.233182458003,499.49844250000024
2019-09-19,2023-11-20,50,36,100.0,3948.071903248662,4304.5411255768595,6209.452237079051,461.4344424999945
2020-02-24,2024-01-24,47,36,100.0,3935.638550689635,4276.8649061798205,6130.900421969993,509.71078750000015
2019-10-21,2023-12-21,50,36,100.0,3927.5806111354136,4280.345781382071,6180.886880937847,458.6492575000011
2019-11-21,2023-12-21,49,36,100.0,3927.5806111354136,4280.345781382071,6180.886880937847,458.6492575000011
2019-12-23,2023-11-23,47,36,100.0,3872.9371655000846,4215.824863529298,6104.712597894635,451.22209750000184
2019-12-23,2023-12-27,48,36,100.0,3869.521950147877,4211.792306163505,6099.951705204432,450.7578999999969
2019-08-19,2021-10-19,26,36,100.0,3863.096253200962,3955.023644040757,8511.470321630128,340.4102500000008
2019-06-17,2021-09-17,27,36,100.0,3819.473910699826,3532.395141841742,8437.066997109054,278.0413999999946
2019-07-17,2021-09-17,26,36,100.0,3819.473910699826,3532.395141841742,8437.066997109054,278.0413999999946
2019-05-16,2021-12-16,31,36,100.0,3797.402576134398,3549.9005132414895,8428.804516071556,247.3330500000011
2020-04-24,2023-12-27,44,36,100.0,3793.5029809509124,3864.900169715427,6436.284012424039,607.8703499999974
2020-04-24,2022-06-24,26,36,100.0,3772.1526181542044,3811.5304604153134,6826.292370008552,521.3276499999993
2019-10-21,2023-11-21,49,36,100.0,3753.4053455043168,4074.686202724344,5938.0823537150645,434.97528250000323
2019-11-21,2023-11-21,48,36,100.0,3753.4053455043168,4074.686202724344,5938.0823537150645,434.97528250000323
2019-09-19,2024-04-19,55,36,100.0,3713.3493051617384,4043.1911728729865,5876.197638004509,428.940714999997
2020-04-24,2023-11-24,43,36,100.0,3712.2826335105096,3770.0731302489476,6318.907457791851,596.2655099999974
2019-06-17,2022-08-17,38,36,100.0,3640.6595866644875,3255.4301239603847,8221.966059227001,308.71395250000205
2019-07-17,2022-08-17,37,36,100.0,3640.6595866644875,3255.4301239603847,8221.966059227001,308.71395250000205
2020-03-24,2023-12-27,45,36,100.0,3619.5134747846078,3773.733179399107,5977.970708696841,572.6391000000003
2019-09-19,2021-10-19,25,36,100.0,3615.6742473098657,3931.9148369049108,6103.2731737573195,340.4102500000008
2020-03-24,2022-06-24,27,36,100.0,3611.7292044497785,3721.0790398088757,6395.2345590059995,486.0963999999949
2020-01-23,2023-11-23,46,36,100.0,3597.5799312192303,3840.425803410133,5626.107125563765,451.22209750000184
2020-01-23,2023-12-27,47,36,100.0,3594.1930552708977,3836.9619894589596,5621.346278863479,450.7578999999969
2019-05-16,2021-02-16,21,36,100.0,3566.68679772546,3286.3743139664293,8204.091725014332,236.14474999999948
2020-02-24,2022-06-24,28,36,100.0,3557.7015405476436,3858.991855734206,5603.779667399991,364.21519999999873
2019-05-16,2023-07-17,50,36,100.0,3543.798629716914,3291.779982233511,8075.512651646764,235.37103999999817
2019-08-19,2022-02-21,30,36,100.0,3540.409941993445,3633.467615155405,7913.4816604371445,310.4160500000071
2020-03-24,2023-11-24,44,36,100.0,3537.768513153247,3681.5527208677777,5860.099920454304,561.0342600000004
2019-05-16,2021-03-16,22,36,100.0,3523.222288635662,3238.6404043141592,8127.601181806916,232.3359500000006
2019-08-19,2021-11-19,27,36,100.0,3521.9009658684586,3591.6153198560787,7922.069675138613,310.8921499999997
2020-05-26,2023-12-27,43,36,100.0,3512.4756507777324,3832.668787659204,6730.512612424041,116.4059999999954
2020-02-24,2023-12-27,46,36,100.0,3505.829022051782,3836.9619894589596,5597.391301575,450.7578999999969
2019-06-17,2023-10-17,52,36,100.0,3504.5873904378436,3179.568641752041,7888.857266230269,276.22032249999756
2019-07-17,2023-10-17,51,36,100.0,3504.5873904378436,3179.568641752041,7888.857266230269,276.22032249999756
2019-05-16,2024-02-16,57,36,100.0,3474.5909499830586,3216.060822174961,7980.2963991388315,226.08708999999362
2019-06-17,2021-12-17,30,36,100.0,3458.9805546864486,3122.6363814428623,7828.355652620994,247.57110000000102
2019-07-17,2021-12-17,29,36,100.0,3458.9805546864486,3122.6363814428623,7828.355652620994,247.57110000000102
2019-05-16,2023-08-16,51,36,100.0,3426.487915096108,3163.058205336245,7913.646376831573,219.58842249999725
2020-05-26,2023-11-27,42,36,100.0,3426.2206332380074,3732.164956852237,6599.0507528969465,109.74064999999973
2020-02-24,2023-11-24,45,36,100.0,3421.221278108485,3750.3673682187473,5492.37035615099,439.1530599999969
2019-06-17,2022-09-20,39,36,100.0,3396.227284148819,2970.0529611543498,7869.687132446728,274.3635324999923
2019-07-17,2022-09-20,38,36,100.0,3396.227284148819,2970.0529611543498,7869.687132446728,274.3635324999923
2019-12-23,2024-04-23,52,36,100.0,3370.7041125704563,3635.035912478721,5400.107149658892,382.5211599999966
2019-06-17,2021-02-17,20,36,100.0,3356.147823667509,2979.882014659772,7845.228141892214,248.52330000000802
2019-07-17,2021-02-17,19,36,100.0,3356.147823667509,2979.882014659772,7845.228141892214,248.52330000000802
2019-12-23,2022-02-23,26,36,100.0,3328.6703268828255,3641.8009218800144,5563.163676456512,313.272649999999
2020-04-24,2024-04-24,48,36,100.0,3307.732398704798,3307.606355767828,5733.712155655674,537.7768199999991
2019-09-19,2022-02-21,29,36,100.0,3294.2110932827527,3603.786875303762,5506.096800624495,310.4160500000071
2019-10-21,2022-02-21,28,36,100.0,3294.2110932827527,3603.786875303762,5506.096800624495,310.4160500000071
2019-11-21,2022-02-21,27,36,100.0,3294.2110932827527,3603.786875303762,5506.096800624495,310.4160500000071
2020-05-26,2024-01-26,44,36,100.0,3290.6760174692026,3574.2291808407317,6392.466281104957,99.26644999999553
2019-09-19,2021-11-19,26,36,100.0,3275.366650252354,3565.615560346927,5514.284535912309,310.8921499999997
2019-05-16,2023-06-16,49,36,100.0,3266.3966250392964,2988.9049324038533,7694.638858168801,198.23543499999505
2020-06-26,2023-12-27,42,36,100.0,3231.1165632314764,3414.7687639176547,6911.82492595943,116.4059999999954
2019-08-19,2022-10-19,38,36,100.0,3228.8407593058428,3202.4617144131626,7441.082252638262,346.7780499999935
2019-10-21,2021-11-22,25,36,100.0,3225.967569442549,3510.076480372969,5428.7868932838755,306.6073000000033
2019-11-21,2021-11-22,24,36,100.0,3225.967569442549,3510.076480372969,5428.7868932838755,306.6073000000033
2019-06-17,2023-08-17,50,36,100.0,3225.7842343940656,2881.826696265329,7503.22152534515,238.62042250000377
2019-07-17,2023-08-17,49,36,100.0,3225.7842343940656,2881.826696265329,7503.22152534515,238.62042250000377
2019-10-21,2024-04-22,54,36,100.0,3206.2344489144257,3439.121421781172,5171.583755252359,360.23977749999904
2019-11-21,2024-04-22,53,36,100.0,3206.2344489144257,3439.121421781172,5171.583755252359,360.23977749999904
2019-06-17,2023-07-17,49,36,100.0,3200.991628566965,2847.674181269387,7469.887073781101,235.37103999999817
2019-07-17,2023-07-17,48,36,100.0,3200.991628566965,2847.674181269387,7469.887073781101,235.37103999999817
2019-10-21,2021-10-21,24,36,100.0,3195.778890012811,3476.1355354470543,5376.537724210357,303.9887500000041
2019-11-21,2021-10-21,23,36,100.0,3195.778890012811,3476.1355354470543,5376.537724210357,303.9887500000041
