timestamp,open,high,low,close,volume
2025-08-27,375.7000,376.2000,367.2500,371.4000,23500949
2025-08-26,373.9000,375.2000,368.8500,373.8000,29403631
2025-08-22,374.4500,378.3500,373.5500,376.4500,23768320
2025-08-21,374.3000,375.6500,370.3500,373.9500,19805080
2025-08-20,370.3500,373.6000,368.0500,372.7000,20100010
2025-08-19,371.7500,375.5000,371.6500,372.1000,14132340
2025-08-18,370.6500,372.3000,366.7500,371.2000,20397840
2025-08-15,377.9000,379.3235,368.9500,371.1500,32981699
2025-08-14,374.9000,375.2500,372.3000,374.9000,20413340
2025-08-13,374.2000,375.5000,372.3500,373.5000,23288061
2025-08-12,371.9000,374.9500,370.3000,374.0000,26541660
2025-08-11,369.7000,372.0647,365.6000,371.0000,16640279
2025-08-08,363.1500,367.9500,361.7000,367.9500,71584352
2025-08-07,363.2000,365.5500,360.4500,362.0000,83644461
2025-08-06,366.1000,366.1000,362.8000,364.9000,64620801
2025-08-05,367.3500,367.3500,359.4850,360.8500,28505051
2025-08-04,361.2500,366.1000,360.0000,362.4500,46854273
2025-08-01,367.6500,370.1300,352.6000,356.6500,31946910
2025-07-31,374.6500,376.3500,370.7500,371.3000,52230367
2025-07-30,375.0000,375.1500,367.0000,375.0000,34619301
2025-07-29,359.6000,372.8000,355.1500,371.2000,54910969
2025-07-28,365.0000,366.3074,359.7500,361.2000,23321180
2025-07-25,359.2500,363.2693,354.9000,360.5000,73558086
2025-07-24,351.5000,360.9000,351.0400,358.4000,33393102
2025-07-23,350.1500,352.8500,346.6000,351.8500,54654262
2025-07-22,349.5500,350.9500,343.9500,348.7500,29163449
2025-07-21,348.7000,352.8000,346.3000,352.8000,43624090
2025-07-18,348.0000,349.6500,343.8500,349.6500,26646131
2025-07-17,346.5000,352.0000,343.7000,351.2000,21147891
2025-07-16,342.6500,348.3000,341.8000,342.6000,41093793
2025-07-15,346.3000,346.7500,341.0000,343.3500,37652527
2025-07-14,338.7500,344.0500,337.8270,344.0000,17404949
2025-07-11,344.4500,345.4500,337.6500,340.0000,26291570
2025-07-10,340.0500,344.9000,340.0500,343.6500,55679500
2025-07-09,336.3000,339.6500,336.0500,339.6500,33057719
2025-07-08,335.2000,338.0510,333.3500,334.6500,38120941
2025-07-07,331.6500,336.1500,331.5500,334.3000,19248211
2025-07-04,330.8000,333.4500,329.1500,330.5000,15476730
2025-07-03,327.0000,335.8500,325.0500,332.3500,33811648
2025-07-02,336.0500,338.0250,319.3500,325.7500,51318422
2025-07-01,335.8000,336.8000,329.4500,329.7000,24617580
2025-06-30,338.8000,339.4000,332.4500,337.3000,22865391
2025-06-27,334.1500,340.3500,334.1500,338.5500,35720594
2025-06-26,332.0000,335.7000,330.7500,331.2000,27767369
2025-06-25,333.5000,333.7500,328.5500,331.8500,28326350
2025-06-24,327.9500,333.5000,327.0000,333.5000,53443539
2025-06-23,322.2000,323.8500,317.8500,318.6500,24584330
2025-06-20,321.2500,327.3000,321.2500,324.0000,54976246
2025-06-19,325.0000,325.2000,319.7500,319.7500,15272320
2025-06-18,323.0000,326.4000,322.3500,325.1500,31743510
2025-06-17,323.8500,324.8500,320.4000,321.7500,33319730
2025-06-16,320.9000,326.0000,319.6500,325.6000,32419381
2025-06-13,317.9500,319.3000,315.5000,319.3000,61656559
2025-06-12,318.1000,325.3500,317.0000,323.9500,46385660
2025-06-11,323.6500,326.5500,322.7500,323.0000,48031207
